size,syear,cause,class
64.90205952924,2001,Human,Urban
2269.1682284491,2001,Human,VLD
2573.3639161586,2001,Human,Wildlands
1053.1429891002,2001,Human,WUI
41.7632309826,2001,Lightning,Urban
1628.062502179,2001,Lightning,VLD
5841.7764420032,2001,Lightning,Wildlands
60.986989572,2001,Lightning,WUI
51.43955247594,2002,Human,Urban
3603.80307774042,2002,Human,VLD
4157.20070412489,2002,Human,Wildlands
1105.54542311652,2002,Human,WUI
44.8921417288,2002,Lightning,Urban
2283.40274510621,2002,Lightning,VLD
6393.51662151362,2002,Lightning,Wildlands
115.147736910058,2002,Lightning,WUI
108.52825037226,2003,Human,Urban
2483.41137640278,2003,Human,VLD
3516.81742864384,2003,Human,Wildlands
1093.13331172,2003,Human,WUI
2.3904397334,2003,Lightning,Urban
2849.96762757427,2003,Lightning,VLD
4433.14986470873,2003,Lightning,Wildlands
61.5402762712,2003,Lightning,WUI
44.1999263258,2004,Human,Urban
1243.63433859535,2004,Human,VLD
1740.45537835813,2004,Human,Wildlands
768.895334972237,2004,Human,WUI
2.4212768066,2004,Lightning,Urban
447.0939362492,2004,Lightning,VLD
1967.9012533216,2004,Lightning,Wildlands
12.2907184655314,2004,Lightning,WUI
64.8105843058,2005,Human,Urban
3099.81385521535,2005,Human,VLD
3006.65620229906,2005,Human,Wildlands
969.194370799911,2005,Human,WUI
1.2010675794,2005,Lightning,Urban
2858.24374283243,2005,Lightning,VLD
9021.06167191737,2005,Lightning,Wildlands
38.67774709106,2005,Lightning,WUI
234.0024153863,2006,Human,Urban
6076.18887707004,2006,Human,VLD
6042.28320343796,2006,Human,Wildlands
1560.06623206885,2006,Human,WUI
9.946777194,2006,Lightning,Urban
4384.3520377315,2006,Lightning,VLD
16816.6693698468,2006,Lightning,Wildlands
373.8269118816,2006,Lightning,WUI
73.8103011181214,2007,Human,Urban
3377.88100331355,2007,Human,VLD
6710.95351438482,2007,Human,Wildlands
1687.55626309686,2007,Human,WUI
1.6898270959,2007,Lightning,Urban
5978.14797964653,2007,Lightning,VLD
15723.7584701935,2007,Lightning,Wildlands
45.0812312218314,2007,Lightning,WUI
67.595692441956,2008,Human,Urban
4973.67012774242,2008,Human,VLD
5193.98607527539,2008,Human,Wildlands
1409.33819552961,2008,Human,WUI
0.9576489504,2008,Lightning,Urban
3123.3137769456,2008,Lightning,VLD
5371.9031759686,2008,Lightning,Wildlands
89.0932011754,2008,Lightning,WUI
69.41689032592,2009,Human,Urban
2725.0284826237,2009,Human,VLD
3489.00480698051,2009,Human,Wildlands
1047.76167866227,2009,Human,WUI
0.8624668032,2009,Lightning,Urban
1321.0902233549,2009,Lightning,VLD
2850.24212778775,2009,Lightning,Wildlands
14.88034873546,2009,Lightning,WUI
56.36237151038,2010,Human,Urban
1779.08918670721,2010,Human,VLD
2201.82992480155,2010,Human,Wildlands
646.671600221163,2010,Human,WUI
1.9622819454,2010,Lightning,Urban
819.14038958177,2010,Lightning,VLD
3150.798390853,2010,Lightning,Wildlands
28.65467849234,2010,Lightning,WUI
95.0332632206,2011,Human,Urban
12989.8263712182,2011,Human,VLD
7528.1748357682,2011,Human,Wildlands
1148.32325248687,2011,Human,WUI
3.2990407406,2011,Lightning,Urban
4420.7612526998,2011,Lightning,VLD
9466.989363777,2011,Lightning,Wildlands
124.5606511188,2011,Lightning,WUI
88.52182905886,2012,Human,Urban
3266.18793857458,2012,Human,VLD
4966.42490599896,2012,Human,Wildlands
871.86018038272,2012,Human,WUI
1.2870228858,2012,Lightning,Urban
10797.7138050938,2012,Lightning,VLD
15594.0075592908,2012,Lightning,Wildlands
44.44539266596,2012,Lightning,WUI
63.56120531172,2013,Human,Urban
1619.96053063146,2013,Human,VLD
2469.37204125629,2013,Human,Wildlands
818.508903828515,2013,Human,WUI
0.5902749996,2013,Lightning,Urban
1957.1034619382,2013,Lightning,VLD
5438.3593349562,2013,Lightning,Wildlands
14.3617395796,2013,Lightning,WUI
53.2376034214499,2014,Human,Urban
1758.96543032219,2014,Human,VLD
2615.74889630308,2014,Human,Wildlands
702.009710550953,2014,Human,WUI
0.8626286776,2014,Lightning,Urban
2087.0940683992,2014,Lightning,VLD
6210.9486150442,2014,Lightning,Wildlands
12.244225143175,2014,Lightning,WUI
98.00611085776,2015,Human,Urban
3380.70503386591,2015,Human,VLD
2559.67341346445,2015,Human,Wildlands
963.942000618072,2015,Human,WUI
1.0351463194,2015,Lightning,Urban
6321.741443757,2015,Lightning,VLD
6394.8425873332,2015,Lightning,Wildlands
54.6595620876,2015,Lightning,WUI
